지점,지점명,일시,평균기온(°C)
108,서울,1907-10,13.9
108,서울,1907-11,5.3
108,서울,1907-12,-3.9
108,서울,1908-01,-3.5
108,서울,1908-02,-4
108,서울,1908-03,2.9
108,서울,1908-04,10.1
108,서울,1908-05,14.9
108,서울,1908-06,20.7
108,서울,1908-07,23.5
108,서울,1908-08,24.3
108,서울,1908-09,19.3
108,서울,1908-10,13.6
108,서울,1908-11,3.6
108,서울,1908-12,-.8
108,서울,1909-01,-2.5
108,서울,1909-02,-3.2
108,서울,1909-03,1.8
108,서울,1909-04,10.4
108,서울,1909-05,15.4
108,서울,1909-06,20.6
108,서울,1909-07,24.6
108,서울,1909-08,25.3
108,서울,1909-09,20.2
108,서울,1909-10,12.2
108,서울,1909-11,5.2
108,서울,1909-12,-3.4
108,서울,1910-01,-2.2
108,서울,1910-02,-3.4
108,서울,1910-03,2.5
108,서울,1910-04,9.9
108,서울,1910-05,16.3
108,서울,1910-06,19.8
108,서울,1910-07,23.3
108,서울,1910-08,24.2
108,서울,1910-09,19.1
108,서울,1910-10,13.7
108,서울,1910-11,5.5
108,서울,1910-12,-4.6
108,서울,1911-01,-5
108,서울,1911-02,-1.1
108,서울,1911-03,4
108,서울,1911-04,9.4
108,서울,1911-05,15.6
108,서울,1911-06,20.3
108,서울,1911-07,23.5
108,서울,1911-08,25
108,서울,1911-09,20.8
108,서울,1911-10,11.6
108,서울,1911-11,6
108,서울,1911-12,-3
108,서울,1912-01,-4.7
108,서울,1912-02,1
108,서울,1912-03,4.1
108,서울,1912-04,9.8
108,서울,1912-05,14.8
108,서울,1912-06,20.7
108,서울,1912-07,23.8
108,서울,1912-08,24.6
108,서울,1912-09,17.7
108,서울,1912-10,11.1
108,서울,1912-11,1.4
108,서울,1912-12,-3
108,서울,1913-01,-5.1
108,서울,1913-02,-3.7
108,서울,1913-03,1.9
108,서울,1913-04,10.9
108,서울,1913-05,14.4
108,서울,1913-06,20.2
108,서울,1913-07,22.3
108,서울,1913-08,23.8
108,서울,1913-09,19.3
108,서울,1913-10,13
108,서울,1913-11,4.9
108,서울,1913-12,-1.9
108,서울,1914-01,-2.2
108,서울,1914-02,.5
108,서울,1914-03,5.2
108,서울,1914-04,10.5
108,서울,1914-05,17.3
108,서울,1914-06,21.4
108,서울,1914-07,26.1
108,서울,1914-08,25.5
108,서울,1914-09,20.6
108,서울,1914-10,13.7
108,서울,1914-11,6.1
108,서울,1914-12,-1
108,서울,1915-01,-3.9
108,서울,1915-02,-2.7
108,서울,1915-03,.6
108,서울,1915-04,9.4
108,서울,1915-05,15.3
108,서울,1915-06,20.7
108,서울,1915-07,25.1
108,서울,1915-08,24.4
108,서울,1915-09,19.3
108,서울,1915-10,14.7
108,서울,1915-11,6.2
108,서울,1915-12,.8
108,서울,1916-01,0
108,서울,1916-02,-.8
108,서울,1916-03,.4
108,서울,1916-04,10.5
108,서울,1916-05,14.5
108,서울,1916-06,20.1
108,서울,1916-07,23.6
108,서울,1916-08,25.5
108,서울,1916-09,19.2
108,서울,1916-10,12.7
