연도,학년,번호,문제명,알고리즘,추가 알고리즘,난이도,링크,비고,문제번호
1996,초등,1,단지번호 붙이기,그래프 탐색(BFS/DFS),,Silver,https://www.acmicpc.net/problem/2667,전국,2667
1996,초등,2,숫자고르기,그래프 탐색(BFS/DFS),,Gold,https://www.acmicpc.net/problem/2668,전국,2668
1996,초등,3,직사각형 네개의 합집합의 면적 구하기,구현,,Bronze,https://www.acmicpc.net/problem/2669,전국,2669
1996,중등,1,연속부분최대곱,동적 프로그래밍,브루트포스,Silver,https://www.acmicpc.net/problem/2670,전국,2670
1996,중등,2,잠수함식별,문자열,,Gold,https://www.acmicpc.net/problem/2671,전국,2671
1996,중등,3,여러 직사각형의 전체 면적 구하기,스위핑,,Gold,https://www.acmicpc.net/problem/2672,전국,2672
1996,고등,1,잠수함식별,문자열,,Gold,https://www.acmicpc.net/problem/2671,전국,2671
1996,고등,2,교차하지 않는 원의 현들의 최대집합,동적 프로그래밍,,Platinum,https://www.acmicpc.net/problem/2673,전국,2673
1996,고등,3,삼각퍼즐,백트래킹,,Diamond,https://www.acmicpc.net/problem/2674,전국,2674
1997,초등,1,직각이등변삼각형찾기,구현,,Gold,https://www.acmicpc.net/problem/2658,전국,2658
1997,초등,2,십자카드 문제,정렬,브루트포스,Silver,https://www.acmicpc.net/problem/2659,전국,2659
1997,초등,3,회장뽑기,그래프 탐색(BFS/DFS),,Gold,https://www.acmicpc.net/problem/2660,전국,2660
1997,중등,1,좋은수열,백트래킹,,Gold,https://www.acmicpc.net/problem/2661,전국,2661
1997,중등,2,기업투자,동적 프로그래밍,,Gold,https://www.acmicpc.net/problem/2662,전국,2662
1997,중등,3,간척지 만들기,그래프 탐색(BFS/DFS),,Platinum,https://www.acmicpc.net/problem/2663,전국,2663
1997,고등,1,다각형의 확장,기하학,,Diamond,https://www.acmicpc.net/problem/2664,전국,2664
1997,고등,2,미로만들기,그래프 탐색(BFS/DFS),,Gold,https://www.acmicpc.net/problem/2665,전국,2665
1997,고등,3,벽장문의 이동,동적 프로그래밍,,Gold,https://www.acmicpc.net/problem/2666,전국,2666
1998,초등,1,교차점 개수,기하학,,Gold,https://www.acmicpc.net/problem/2650,전국,2650
1998,초등,2,자동차경주대회,동적 프로그래밍,,Gold,https://www.acmicpc.net/problem/2651,전국,2651
1998,초등,3,블록맞추기,구현,,Gold,https://www.acmicpc.net/problem/2652,전국,2652
1998,중등,1,안정된 집단,구현,,Gold,https://www.acmicpc.net/problem/2653,전국,2653
1998,중등,2,연결 사각형,구현,,Platinum,https://www.acmicpc.net/problem/2654,전국,2654
1998,중등,3,가장 높은 탑 쌓기,동적 프로그래밍,,Gold,https://www.acmicpc.net/problem/2655,전국,2655
